"","State","dtyear","Autumn_tminavg","Autumn_tmaxavg","Spring_tminavg","Spring_tmaxavg","Summer_tminavg","Summer_tmaxavg","Winter_tminavg","Winter_tmaxavg"
"1","ACT",2000,7.11304347826087,20.2934782608696,6.73846153846154,19.543956043956,11.921978021978,27.0131868131868,-0.467391304347826,12.4391304347826
"2","ACT",2001,5.2945652173913,20.6054347826087,5.31978021978022,20,13.2744444444444,28.8077777777778,0.152173913043478,13.5307692307692
"3","ACT",2002,6.6195652173913,21.2739130434783,5.91098901098901,22.1516483516484,12.56,27.2477777777778,-0.489130434782609,13.4989130434783
"4","ACT",2003,6.93152173913044,20.3597826086957,5.26593406593407,19.1582417582418,13.8733333333333,28.9088888888889,1.31413043478261,12.6978260869565
"5","ACT",2004,6.34130434782609,21.9010869565217,6.05934065934066,20.2362637362637,12.8186813186813,28.7967032967033,0.795652173913043,13.2967391304348
"6","ACT",2005,6.20760869565217,22.3608695652174,7.12857142857143,19.8,12.8822222222222,28.3277777777778,0.919565217391304,13.7076086956522
"7","ACT",2006,5.8195652173913,20.9641304347826,5.32197802197802,23.3747252747253,14.1744444444444,29.5044444444444,-0.352173913043478,13.3402173913043
"8","ACT",2007,7.89239130434783,21.9489130434783,6.77362637362637,21.8032967032967,13.6222222222222,28.5344444444444,1.54021739130435,12.6902173913043
"9","ACT",2008,5.05,20.9217391304348,6.13736263736264,21.5417582417582,12.4208791208791,26.3582417582418,0.68804347826087,13.0065217391304
"10","ACT",2009,7.19021739130435,20.9347826086957,6.80879120879121,21.7571428571429,12.7344444444444,29.5466666666667,1.6054347826087,13.2
"11","ACT",2010,6.84175824175824,20.85,6.55568181818182,19.4098901098901,13.8888888888889,27.98,0.0835164835164836,12.5934782608696
"12","ACT",2011,5.71739130434783,19.5945652173913,5.98131868131868,21.4076923076923,13.3766666666667,26.3455555555556,0.364130434782609,13.9728260869565
"13","ACT",2012,5.33804347826087,19.3130434782609,4.75164835164835,21.4120879120879,12.4714285714286,26.7593406593407,-0.323913043478261,13.1684782608696
"14","ACT",2013,5.55108695652174,21.7565217391304,4.80549450549451,21.8527472527473,12.7944444444444,29.4411111111111,1.87826086956522,14.0097826086957
"15","ACT",2014,7.43586956521739,20.5,6.09010989010989,22.7505494505494,12.7233333333333,29.5733333333333,0.63804347826087,13.2619565217391
"16","ACT",2015,6.27802197802198,20.6760869565217,6.88901098901099,22.4989010989011,12.8011111111111,28.2555555555556,-0.170652173913043,12.975
"17","ACT",2016,8.52717391304348,22.9760869565217,6.17362637362637,19.6912087912088,13.6043956043956,28.8318681318681,2.09891304347826,13.3413043478261
"18","ACT",2017,6.64565217391304,20.7532608695652,6.47362637362637,21.8769230769231,13.9044444444444,30.2566666666667,-1.01868131868132,13.4923913043478
"19","ACT",2018,7.09021739130435,22.9163043478261,6.53956043956044,21.7615384615385,13.7011111111111,30.0211111111111,0.270652173913043,13.4565217391304
"20","ACT",2019,7.60326086956522,21.7271739130435,5.94395604395604,23.0692307692308,14.6155555555556,31.8577777777778,0.234782608695652,13.970652173913
